,point,latitude,longitude,altitude,opening_type,building_type
2,POINT (4.436254380719062 52.22714611157632),52.22714611157632,4.436254380719062,1.84,1st floor window,k1
3,POINT (4.436254380719062 52.22714611157632),52.22714611157632,4.436254380719062,4.49,2nd floor window,k1
4,POINT (4.436230710022445 52.227163983796),52.227163983796,4.436230710022445,1.84,1st floor window,k1
5,POINT (4.436230710022445 52.227163983796),52.227163983796,4.436230710022445,4.49,2nd floor window,k1
7,POINT (4.43615412454646 52.22722163343813),52.227221633438134,4.43615412454646,4.49,2nd floor window,k1
8,POINT (4.436158953527692 52.22725355597238),52.22725355597238,4.436158953527692,1.84,1st floor window,k1
9,POINT (4.436158953527692 52.22725355597238),52.22725355597238,4.436158953527692,4.49,2nd floor window,k1
10,POINT (4.436082546409745 52.22731089442876),52.22731089442876,4.436082546409745,1.84,1st floor window,k1
11,POINT (4.436082546409745 52.22731089442876),52.22731089442876,4.436082546409745,4.49,2nd floor window,k1
12,POINT (4.436059099211374 52.22732857837419),52.22732857837419,4.436059099211374,1.84,1st floor window,k1
13,POINT (4.436059099211374 52.22732857837419),52.22732857837419,4.436059099211374,4.49,2nd floor window,k1
14,POINT (4.43597543881884 52.22739169063356),52.22739169063356,4.43597543881884,1.84,1st floor window,k1
16,POINT (4.435960941001918 52.22740259924566),52.22740259924566,4.435960941001918,1.84,1st floor window,k1
17,POINT (4.435960941001918 52.22740259924566),52.22740259924566,4.435960941001918,4.49,2nd floor window,k1
18,POINT (4.435758311506252 52.22754092700241),52.22754092700241,4.435758311506252,1.84,1st floor window,k1
19,POINT (4.435758311506252 52.22754092700241),52.22754092700241,4.435758311506252,4.49,2nd floor window,k1
21,POINT (4.4357350589302 52.22755855829347),52.227558558293474,4.4357350589302005,4.49,2nd floor window,k1
26,POINT (4.435559287621296 52.22769166478241),52.22769166478241,4.435559287621296,1.84,1st floor window,k1
27,POINT (4.435559287621296 52.22769166478241),52.22769166478241,4.435559287621296,4.49,2nd floor window,k1
29,POINT (4.435507375518095 52.22769536651292),52.22769536651292,4.435507375518095,4.49,2nd floor window,k1
30,POINT (4.435431089897921 52.22775311626416),52.22775311626416,4.435431089897921,1.84,1st floor window,k1
32,POINT (4.435407707096001 52.22777078223197),52.22777078223197,4.435407707096001,1.84,1st floor window,k1
33,POINT (4.435407707096001 52.22777078223197),52.22777078223197,4.435407707096001,4.49,2nd floor window,k1
35,POINT (4.435331523552589 52.22782853304678),52.227828533046775,4.435331523552589,4.49,2nd floor window,k1
36,POINT (4.435308271917026 52.2278461646969),52.2278461646969,4.435308271917026,1.84,1st floor window,k1
38,POINT (4.435232099615956 52.22790382113846),52.22790382113846,4.435232099615956,1.84,1st floor window,k1
39,POINT (4.435232099615956 52.22790382113846),52.22790382113846,4.435232099615956,4.49,2nd floor window,k1
41,POINT (4.435208606052477 52.22792158168553),52.22792158168553,4.435208606052477,4.49,2nd floor window,k1
43,POINT (4.43513264381307 52.22797919324118),52.22797919324118,4.43513264381307,4.49,2nd floor window,k1
45,POINT (4.435085217780684 52.22806199678898),52.22806199678898,4.435085217780684,4.49,2nd floor window,k1
50,POINT (4.435185210372086 52.22822249659534),52.228222496595336,4.435185210372086,1.84,1st floor window,k1
51,POINT (4.435185210372086 52.22822249659534),52.228222496595336,4.435185210372086,4.49,2nd floor window,k1
52,POINT (4.435198508290096 52.22824379901074),52.22824379901074,4.435198508290096,1.84,1st floor window,k1
53,POINT (4.435198508290096 52.22824379901074),52.22824379901074,4.435198508290096,4.49,2nd floor window,k1
54,POINT (4.435241816125742 52.22831329524296),52.228313295242955,4.435241816125742,1.84,1st floor window,k1
55,POINT (4.435241816125742 52.22831329524296),52.228313295242955,4.435241816125742,4.49,2nd floor window,k1
58,POINT (4.436289885930294 52.22827040159726),52.228270401597264,4.436289885930294,1.84,1st floor window,k1
59,POINT (4.436289885930294 52.22827040159726),52.228270401597264,4.436289885930294,4.49,2nd floor window,k1
60,POINT (4.43626146740152 52.22825623370076),52.22825623370076,4.43626146740152,1.84,1st floor window,k1
61,POINT (4.43626146740152 52.22825623370076),52.22825623370076,4.43626146740152,4.49,2nd floor window,k1
62,POINT (4.436167409356298 52.22820938386874),52.22820938386874,4.436167409356298,1.84,1st floor window,k1
63,POINT (4.436167409356298 52.22820938386874),52.22820938386874,4.436167409356298,4.49,2nd floor window,k1
68,POINT (4.435625835386184 52.2285361034895),52.228536103489496,4.435625835386184,1.93,1st floor window,k3
69,POINT (4.435625835386184 52.2285361034895),52.228536103489496,4.435625835386184,4.45,2nd floor window,k3
70,POINT (4.435619985996049 52.2285909973702),52.228590997370205,4.435619985996049,1.93,1st floor window,k3
71,POINT (4.435619985996049 52.2285909973702),52.228590997370205,4.435619985996049,4.45,2nd floor window,k3
72,POINT (4.435615606202799 52.22863180231397),52.22863180231397,4.435615606202799,1.93,1st floor window,k3
73,POINT (4.435615606202799 52.22863180231397),52.22863180231397,4.435615606202799,4.45,2nd floor window,k3
74,POINT (4.435610078092526 52.22868339705165),52.22868339705165,4.435610078092526,1.93,1st floor window,k3
75,POINT (4.435610078092526 52.22868339705165),52.22868339705165,4.435610078092526,4.45,2nd floor window,k3
76,POINT (4.435605714003978 52.22872420262953),52.22872420262953,4.435605714003978,1.93,1st floor window,k3
77,POINT (4.435605714003978 52.22872420262953),52.22872420262953,4.435605714003978,4.45,2nd floor window,k3
79,POINT (4.435600275166937 52.22877509693413),52.22877509693413,4.435600275166937,4.45,2nd floor window,k3
81,POINT (4.435595947288225 52.22881590396378),52.228815903963785,4.435595947288225,4.45,2nd floor window,k3
82,POINT (4.435590679794815 52.22886549712053),52.22886549712053,4.4355906797948155,1.93,1st floor window,k3
83,POINT (4.435590679794815 52.22886549712053),52.22886549712053,4.4355906797948155,4.45,2nd floor window,k3
84,POINT (4.435586282462425 52.22890630134569),52.22890630134569,4.435586282462425,1.93,1st floor window,k3
86,POINT (4.435580759354739 52.22895779630115),52.228957796301145,4.435580759354739,1.93,1st floor window,k3
88,POINT (4.436949089109944 52.22901269749532),52.22901269749532,4.436949089109944,1.93,1st floor window,k3
89,POINT (4.436949089109944 52.22901269749532),52.22901269749532,4.436949089109944,4.45,2nd floor window,k3
90,POINT (4.436954692019697 52.228960701738),52.228960701738,4.436954692019697,1.93,1st floor window,k3
92,POINT (4.436959057228397 52.22891989621475),52.22891989621475,4.436959057228397,1.93,1st floor window,k3
93,POINT (4.436959057228397 52.22891989621475),52.22891989621475,4.436959057228397,4.45,2nd floor window,k3
95,POINT (4.436964398023878 52.22886990198285),52.22886990198285,4.4369643980238775,4.45,2nd floor window,k3
96,POINT (4.4369687923603 52.2288290976266),52.2288290976266,4.4369687923603,1.93,1st floor window,k3
97,POINT (4.4369687923603 52.2288290976266),52.2288290976266,4.4369687923603,4.45,2nd floor window,k3
98,POINT (4.436974718313929 52.22877380280494),52.22877380280494,4.4369747183139285,1.93,1st floor window,k3
99,POINT (4.436974718313929 52.22877380280494),52.22877380280494,4.4369747183139285,4.45,2nd floor window,k3
101,POINT (4.434797887363286 52.22831293062993),52.22831293062993,4.434797887363286,4.43,2nd floor window,k4
102,POINT (4.434708576270023 52.22838045126265),52.22838045126265,4.434708576270023,1.885,1st floor window,k4
103,POINT (4.434708576270023 52.22838045126265),52.22838045126265,4.434708576270023,4.43,2nd floor window,k4
104,POINT (4.434678017560632 52.22840354565357),52.22840354565357,4.434678017560632,1.885,1st floor window,k4
105,POINT (4.434678017560632 52.22840354565357),52.22840354565357,4.434678017560632,4.43,2nd floor window,k4
106,POINT (4.434587737826757 52.22847118178107),52.228471181781075,4.434587737826757,1.885,1st floor window,k4
107,POINT (4.434587737826757 52.22847118178107),52.228471181781075,4.434587737826757,4.43,2nd floor window,k4
109,POINT (4.434528712945076 52.22848024333528),52.228480243335284,4.434528712945076,4.43,2nd floor window,k4
110,POINT (4.43443915425352 52.22854774030052),52.22854774030052,4.43443915425352,1.885,1st floor window,k4
111,POINT (4.43443915425352 52.22854774030052),52.22854774030052,4.43443915425352,4.43,2nd floor window,k4
112,POINT (4.434408064503442 52.22857116907976),52.22857116907976,4.434408064503442,1.885,1st floor window,k4
113,POINT (4.434408064503442 52.22857116907976),52.22857116907976,4.434408064503442,4.43,2nd floor window,k4
118,POINT (4.434266039355562 52.22881397055969),52.22881397055969,4.434266039355562,1.885,1st floor window,k4
119,POINT (4.434266039355562 52.22881397055969),52.22881397055969,4.434266039355562,4.43,2nd floor window,k4
120,POINT (4.434262962464349 52.22884372951128),52.22884372951128,4.4342629624643495,1.885,1st floor window,k4
121,POINT (4.434262962464349 52.22884372951128),52.22884372951128,4.4342629624643495,4.43,2nd floor window,k4
123,POINT (4.434253851623321 52.22893057103608),52.22893057103608,4.434253851623321,4.43,2nd floor window,k4
125,POINT (4.434564612537433 52.22896083580076),52.228960835800756,4.434564612537433,4.43,2nd floor window,k5
126,POINT (4.434626239638998 52.2289633745704),52.2289633745704,4.434626239638998,1.625,1st floor window,k5
130,POINT (4.43479183776962 52.22897019150292),52.228970191502924,4.4347918377696205,1.625,1st floor window,k5
132,POINT (4.434895256955649 52.22897445671512),52.22897445671512,4.434895256955649,1.625,1st floor window,k5
135,POINT (4.434956888819608 52.22897695175192),52.228976951751925,4.434956888819608,4.43,2nd floor window,k5
137,POINT (4.435062216373348 52.22898130080898),52.228981300808975,4.435062216373348,4.43,2nd floor window,k5
139,POINT (4.435123989458738 52.22898384583819),52.228983845838194,4.435123989458738,4.43,2nd floor window,k5
140,POINT (4.435232158578911 52.22898824157925),52.22898824157925,4.435232158578911,1.625,1st floor window,k5
141,POINT (4.435232012538905 52.22898823560101),52.22898823560101,4.435232012538905,4.43,2nd floor window,k5
142,POINT (4.435955741162844 52.22901746100113),52.229017461001135,4.435955741162844,1.625,1st floor window,k5
143,POINT (4.435955887201622 52.22901746699164),52.229017466991635,4.435955887201622,4.43,2nd floor window,k5
144,POINT (4.436065953111261 52.22902189276019),52.229021892760194,4.436065953111261,1.625,1st floor window,k5
145,POINT (4.436065807045281 52.22902188702509),52.22902188702509,4.436065807045281,4.43,2nd floor window,k5
146,POINT (4.436127440859456 52.22902436383219),52.22902436383219,4.4361274408594555,1.625,1st floor window,k5
147,POINT (4.436127586896792 52.22902436983615),52.22902436983615,4.436127586896792,4.43,2nd floor window,k5
148,POINT (4.436231954233921 52.22902858198046),52.22902858198046,4.4362319542339215,1.625,1st floor window,k5
149,POINT (4.436231808173275 52.22902857619414),52.22902857619414,4.436231808173275,4.43,2nd floor window,k5
152,POINT (4.436398859466151 52.22903533311739),52.229035333117395,4.436398859466151,1.625,1st floor window,k5
156,POINT (4.436568757907714 52.22904214741184),52.22904214741184,4.436568757907714,1.625,1st floor window,k5
157,POINT (4.43656861186452 52.2290421414613),52.2290421414613,4.43656861186452,4.43,2nd floor window,k5
158,POINT (4.435916467504889 52.22827868585512),52.228278685855116,4.435916467504889,1.625,1st floor window,k5
160,POINT (4.435964305471886 52.22830253459826),52.22830253459826,4.435964305471886,1.625,1st floor window,k5
161,POINT (4.435964419037074 52.22830259129469),52.228302591294685,4.435964419037074,4.43,2nd floor window,k5
162,POINT (4.436046379199148 52.22834347697582),52.22834347697582,4.436046379199148,1.625,1st floor window,k5
165,POINT (4.436094319146858 52.2283673912382),52.2283673912382,4.436094319146858,4.43,2nd floor window,k5
166,POINT (4.436175193902899 52.22840776583462),52.228407765834625,4.436175193902899,1.625,1st floor window,k5
167,POINT (4.436175080334742 52.22840770914025),52.22840770914025,4.436175080334742,4.43,2nd floor window,k5
168,POINT (4.436223021792696 52.22843162231281),52.22843162231281,4.436223021792696,1.625,1st floor window,k5
170,POINT (4.436303835269135 52.22847191023399),52.22847191023399,4.436303835269135,1.625,1st floor window,k5
171,POINT (4.436303721422433 52.22847185375054),52.22847185375054,4.436303721422433,4.43,2nd floor window,k5
174,POINT (4.436457765271558 52.22851958744813),52.22851958744813,4.436457765271558,1.625,1st floor window,k5
175,POINT (4.436457651567386 52.22851953085644),52.22851953085644,4.436457651567386,4.43,2nd floor window,k5
176,POINT (4.436505648854646 52.22854340185504),52.22854340185504,4.436505648854646,1.625,1st floor window,k5
177,POINT (4.436505762625927 52.22854345839592),52.22854345839592,4.436505762625927,4.43,2nd floor window,k5
179,POINT (4.436589952075296 52.22858533044472),52.228585330444716,4.4365899520752965,4.43,2nd floor window,k5
