,point,latitude,longitude,altitude,opening_type,building_type,3d_point,closest_detected,distance_to_ground_truth,nearest_latitude,nearest_longitude,nearest_altitude
2,POINT (90028.83505662625 471433.7259754404),52.22714611157632,4.436254380719062,1.84,1st floor window,k1,"[90028.83505662625, 471433.7259754404, 1.84]","[90027.70399326812, 471435.15424077545, 1.7989764716478458]",1.822341657663645,52.227158813847474,4.436237554049529,1.7989764716478458
3,POINT (90028.83505662625 471433.7259754404),52.22714611157632,4.436254380719062,4.49,2nd floor window,k1,"[90028.83505662625, 471433.7259754404, 4.49]","[90028.95552743536, 471433.5738985078, 4.202372947249939]",0.34694369968457295,52.22714475908529,4.436256172936239,4.202372947249939
4,POINT (90027.243953331 471435.7355546888),52.227163983796,4.436230710022445,1.84,1st floor window,k1,"[90027.243953331, 471435.73555468884, 1.84]","[90027.70399326812, 471435.15424077545, 1.7989764716478458]",0.7424591164090044,52.227158813847474,4.436237554049529,1.7989764716478458
5,POINT (90027.243953331 471435.7355546888),52.227163983796,4.436230710022445,4.49,2nd floor window,k1,"[90027.243953331, 471435.73555468884, 4.49]","[90027.67439330899, 471435.19164376246, 4.271513396057303]",0.727223532757394,52.22715914649305,4.436237113690152,4.271513396057303
7,POINT (90022.09576353488 471442.2179784825),52.227221633438134,4.43615412454646,4.49,2nd floor window,k1,"[90022.09576353488, 471442.2179784825, 4.49]","[90022.26900392104, 471441.9982518139, 4.201295245895388]",0.40204785205467886,52.227219679212006,4.436156702012277,4.201295245895388
8,POINT (90022.47224837352 471445.7651966793),52.22725355597238,4.436158953527692,1.84,1st floor window,k1,"[90022.47224837352, 471445.7651966793, 1.84]","[90023.03099069052, 471445.0700005878, 2.00117308486155]",0.9063483578089754,52.2272473742222,4.436167263899393,2.00117308486155
9,POINT (90022.47224837352 471445.7651966793),52.22725355597238,4.436158953527692,4.49,2nd floor window,k1,"[90022.47224837352, 471445.7651966793, 4.49]","[90023.03930337734, 471445.05965781223, 4.2582466232460465]",0.934369358390805,52.22724728225325,4.4361673875369005,4.2582466232460465
10,POINT (90017.3358068518 471452.2128447981),52.22731089442876,4.436082546409745,1.84,1st floor window,k1,"[90017.3358068518, 471452.2128447981, 1.84]","[90017.41348458739, 471452.11514870066, 1.9399135253009354]",0.15987829934718964,52.22731002560722,4.4360837019423975,1.9399135253009354
11,POINT (90017.3358068518 471452.2128447981),52.22731089442876,4.436082546409745,4.49,2nd floor window,k1,"[90017.3358068518, 471452.2128447981, 4.49]","[90017.41534281979, 471452.11281158146, 4.189243043952711]",0.3267833552174616,52.22731000482298,4.43608372958543,4.189243043952711
12,POINT (90015.75970888814 471454.2012811324),52.22732857837419,4.436059099211374,1.84,1st floor window,k1,"[90015.75970888814, 471454.20128113235, 1.84]","[90016.1990880768, 471453.645421509, 2.002261714049888]",0.7268857242725209,52.22732363475374,4.4360656360365205,2.002261714049888
13,POINT (90015.75970888814 471454.2012811324),52.22732857837419,4.436059099211374,4.49,2nd floor window,k1,"[90015.75970888814, 471454.20128113235, 4.49]","[90016.10575315569, 471453.7634997185, 4.2990413992152705]",0.58980029553948,52.22732468489993,4.436064247454584,4.2990413992152705
14,POINT (90010.13617116197 471461.2978004937),52.22739169063356,4.43597543881884,1.84,1st floor window,k1,"[90010.13617116197, 471461.2978004937, 1.84]","[90009.58912141067, 471461.9860078851, 1.9858435095914446]",0.8911583322897296,52.22739781094201,4.4359673008513845,1.9858435095914446
16,POINT (90009.16160793905 471462.5244297428),52.22740259924566,4.435960941001918,1.84,1st floor window,k1,"[90009.16160793905, 471462.52442974277, 1.84]","[90009.58912141067, 471461.9860078851, 1.9858435095914446]",0.7028059437326378,52.22739781094201,4.4359673008513845,1.9858435095914446
17,POINT (90009.16160793905 471462.5244297428),52.22740259924566,4.435960941001918,4.49,2nd floor window,k1,"[90009.16160793905, 471462.52442974277, 4.49]","[90009.36066372794, 471462.27373355837, 4.880220675589609]",0.5047216654994,52.22740036974956,4.4359639022300685,4.880220675589609
18,POINT (89995.51999238353 471478.0956815241),52.22754092700241,4.435758311506252,1.84,1st floor window,k1,"[89995.51999238353, 471478.09568152414, 1.84]","[89995.35968969378, 471478.2987183855, 1.944866439098421]",0.2791377607355079,52.22754273275684,4.435755926547574,1.944866439098421
19,POINT (89995.51999238353 471478.0956815241),52.22754092700241,4.435758311506252,4.49,2nd floor window,k1,"[89995.51999238353, 471478.09568152414, 4.49]","[89995.3596897369, 471478.2987183295, 4.26516784705357]",0.34273952187590756,52.22754273275635,4.435755926548217,4.26516784705357
21,POINT (89993.95713116061 471480.0780924471),52.227558558293474,4.4357350589302005,4.49,2nd floor window,k1,"[89993.95713116061, 471480.0780924471, 4.49]","[89993.90269403881, 471480.14726149716, 4.243500871499666]",0.2617433438894719,52.227559173484444,4.435734248980276,4.243500871499666
26,POINT (89982.1429107299 471495.0444176484),52.22769166478241,4.435559287621296,1.84,1st floor window,k1,"[89982.1429107299, 471495.0444176484, 1.84]","[89981.57936039413, 471495.7640795404, 3.997353875759098]",2.3430061811659177,52.227698065791394,4.435550902020012,3.997353875759098
27,POINT (89982.1429107299 471495.0444176484),52.22769166478241,4.435559287621296,4.49,2nd floor window,k1,"[89982.1429107299, 471495.0444176484, 4.49]","[89981.57936039413, 471495.7640795404, 3.997353875759098]",1.0383652649518273,52.227698065791394,4.435550902020012,3.997353875759098
