neighborhood_name,safety_index,crime_index,nuisance_index,perceived_safety_index,hic_subindex,hvc_subindex,nuisance_by_people_subindex,deterioration_subindex,risk_perception_subindex,feelings_of_unsafety_subindex,avoidance_subindex,burglary_index
Burgwallen-Oude Zijde,178.1,102.01,325.56,106.73,108.03,95.99,507.91,143.21,136.67,99.27,84.26,38.28
Burgwallen-Nieuwe Zijde,168.84,117.2,292.38,96.95,101.69,132.7,453.97,130.8,122.61,94.46,73.79,52.54
Grachtengordel-Zuid,137.45,139.46,198.33,74.58,130.89,148.02,268.8,127.85,112.97,65.4,45.37,80.93
Bijlmer Centrum,132.04,107.01,141.18,147.94,104.29,109.73,182.16,100.2,109.19,155.98,178.67,50.61
De Punt,130.84,130.03,120.08,142.41,141.83,118.24,131.79,108.37,111.23,157.1,158.91,69.51
Slotermeer-Zuidwest,128.64,124.88,138.62,122.43,144.95,104.81,162.62,114.63,107.48,128.03,131.77,102.45
De Weteringschans,127.67,115.04,191.91,76.07,118.13,111.94,255.99,127.83,108.48,74.3,45.42,70.8
Weesperzijde,123.28,163.29,126.67,79.88,87.08,239.51,140.98,112.35,101.03,77.98,60.62,90.14
Bijlmer Centrum/H-buurt,122.87,135.58,115.02,118.03,204.13,67.03,131.22,98.81,98.91,127.96,127.22,61.15
Bijlmer-Oost K-buurt/-museum N/Z,122.41,112.7,133.13,121.39,150.14,75.25,149.11,117.15,105.7,128.59,129.9,167.71
Nieuwmarkt/Lastage,120.79,113.35,161.41,87.59,116.86,109.85,203.33,119.49,117.95,75.9,68.92,64.42
Bijlmer Centrum/Venserpolder,116.54,127.87,100.74,121.01,193.73,62.01,97.54,103.94,100.6,121.02,141.4,59.8
Noordelijke IJ-oevers-West,116.41,89.03,153.15,107.04,69.62,108.45,216.95,89.36,106.85,107.17,107.11,52.86
Bijlmer Oost E-/G-buurt_West/Noord,115.2,128.56,101.24,115.8,177.73,79.39,112.26,90.21,93.81,121.75,131.82,85.22
