neighborhood_name,population,safety_index,crime_index,nuisance_index,perceived_safety_index,hic_subindex,hvc_subindex,nuisance_by_people_subindex,deterioration_subindex,risk_perception_subindex,feelings_of_unsafety_subindex,avoidance_subindex
Burgwallen-Oude Zijde,4465,178.08,124.94,285.23,124.08,172.5,77.38,431.57,138.89,130.33,129.89,112.04
Burgwallen-Nieuwe Zijde,4134,165.91,88.4,293.31,116.02,106.74,70.06,452.33,134.3,116.23,126.6,105.22
Slotermeer-Zuidwest,6440,148.57,128.09,176.96,140.66,119.16,137.02,190.84,163.08,118.76,155.98,147.24
Osdorp-Oost,5436,141.56,112.42,148.64,163.63,131.99,92.85,169.43,127.84,124.58,166.79,199.51
Slotermeer-Noordoost,9703,134.16,109.42,146.39,146.67,138.14,80.7,160.62,132.17,108.1,156.81,175.11
De Punt,9275,127.66,92.1,146.69,144.2,93.57,90.64,172.08,121.29,119.43,146.55,166.63
Duivendrecht Dorp,19399,126.96,135.59,151.64,93.65,133.15,138.04,83.39,219.89,91.3,91.3,98.34
Bijlmer-Oost K-buurt/-museum N/Z,7294,126.84,101.94,135.48,143.12,123.46,80.42,169.88,101.08,108.5,153.2,167.66
Brt 4 O/N-5 Z,7480,123.58,98.11,142.08,130.54,108.79,87.44,146.64,137.52,105.03,135.46,151.13
Bijlmer Oost E-/G-buurt_West/Noord,13684,120.87,129.92,122.25,110.46,156.89,102.95,137.07,107.42,95.9,108.31,127.16
Holendrecht/Reigersbos/N,13839,120.85,113.21,106.92,142.42,104.37,122.06,103.83,110,111.29,144.38,171.59
Osdorp-Midden,13098,119.85,91.91,122.35,145.29,91.33,92.49,136.6,108.1,110.02,151.55,174.3
Dapperbuurt,10745,118.38,84.56,155.22,115.35,83.82,85.29,190.4,120.05,112,115.82,118.21
Volewijck,4660,118.26,93.66,143.8,117.32,107.18,80.14,136.89,150.71,109.17,119.07,123.73
Zeeburgereiland/Nieuwe Diep,6673,118.06,105.22,168.47,80.48,87.86,122.58,245.67,91.26,96.46,79.35,65.64
Bijlmer Centrum,7083,117.99,94.36,134.84,124.77,109.24,79.48,163.05,106.62,102.15,132.47,139.7
Indische Buurt Oost/IJeiland,9133,116.07,96.87,126.42,124.92,118.07,75.68,134.27,118.56,102.28,124.71,147.77
Westlandgracht,8006,114.86,96.38,132.53,115.68,95.48,97.29,148.62,116.44,105.36,125.95,115.72
